Player,team_code
Cammy,BOS
Nastie,BOS
Purj,BOS
Snoopy,BOS
Craze,CAR
Exceed,CAR
Lurqxx,CAR
Nero,CAR
04,FV
Abuzah,FV
Alluka,FV
Crowder,FV
Drazah,FV
Simp,FV
Estreal,MIN
Kremp,MIN
Mamba,MIN
Skyz,MIN
HyDra,LAT
Nium,LAT
Octane,LAT
Scrap,LAT
aBeZy,LAT
Lucky,MIA
MethodZsick,MIA
MettalZ,MIA
RenKoR,MIA
SupeR,MIA
Traixx,MIA
Dashy,TX
Huke,TX
Mercules,TX
Methodz,TX
Shotzzy,TX
Envoy,M8
Ghosty,M8
Neptune,M8
Sib,M8
Cellium,RYD
Exnid,RYD
KiSMET,RYD
Pred,RYD
CleanX,TOR
Insight,TOR
JoeDeceives,TOR
ReeaL,TOR
Abe,VAN
Atura,VAN
Gwinn,VAN
Lunarz,VAN
TJHaLy,VAN
